,Unnamed: 0,Setor,Subsetor,Produto,Quantidade (Kg) - jan. /2020,Valor (US$) - jan. / 2020,Quantidade (Kg) - fev. / 2020,Valor (US$) - fev. / 2020,Quantidade (Kg) mar. / 2020,Valor (US$) mar. / 2020,Quantidade (Kg) abr. / 2020,Valor (US$) abr. / 2020,Quantidade (Kg) mai. / 2020,Valor (US$) mai. / 2020,Quantidade (Kg) jun. / 2020,Valor (US$) jun. / 2020,Quantidade (Kg) jul. / 2020,Valor (US$) jul. / 2020,Quantidade (Kg) ago. / 2020,Valor (US$) ago. / 2020,Quantidade (Kg) set. / 2020,Valor (US$) set. / 2020,Quantidade (Kg) out. / 2020,Valor (US$) out. / 2020,Quantidade (Kg) nov. / 2020,Valor (US$) nov. / 2020,Quantidade (Kg) dez. / 2020 ,Valor (US$) dez. / 2020
261,261,PESCADOS,PEIXES,"ATUM, FRESCO OU REFRIGERADO",44.143,417.590,36.797,308.002,12.930,111.303,4.917,40.925,12.216,103.751,2.997,14.388,23.870,136.644,14.275,86.611,17.530,123.882,24.379,165.909,24.327,184.062,23.048,192.366
262,262,PESCADOS,PEIXES,BACALHAU CONGELADO,30,157,52,461,54,314,70,367,90,626,175,889,95,437,135,1.426,60,257,90,350,56,312,29,189
263,263,PESCADOS,PEIXES,"BACALHAU, FRESCO OU REFRIGERADO",40,403,,,20,180,10,80,5,46,,,,,,,,,68,578,,,,
264,264,PESCADOS,PEIXES,"BACALHAU, SECOS, SALGADOS OU DEFUMADOS",90,962,81,965,11,127,92,1.129,41,467,22.581,223.768,102,1.356,136,1.553,153,1.220,174,1.420,18.348,211.090,166,1.397
265,265,PESCADOS,PEIXES,DEMAIS PEIXES,24.257,85.837,5.857,31.791,8.379,45.110,7.807,33.870,9.200,44.988,7.073,36.765,8.532,32.567,6.977,30.786,6.457,28.798,8.419,30.427,6.723,26.526,5.924,29.722
266,266,PESCADOS,PEIXES,"FILES DE PARGOS, CONGELADOS",145,751,200,1.219,95,661,155,1.020,183,1.114,6.751,77.006,21.510,254.393,18.559,212.785,21.804,236.732,13.471,155.390,23.691,269.273,25.775,285.840
267,267,PESCADOS,PEIXES,"FILES DE TIL�PIA, CONGELADOS",1.721,8.432,2.063,8.783,468,2.185,13.092,58.605,2.112,10.060,1.778,7.766,3.889,13.658,17.093,77.959,20.515,94.895,479,2.636,361,1.878,495,1.762
268,268,PESCADOS,PEIXES,"OUTROS FILES DE PEIXE, CONGELADOS",67.767,281.169,31.217,256.696,28.197,236.561,36.625,186.341,56.432,448.253,102.461,311.357,41.461,338.357,28.936,110.111,17.291,88.878,5.587,47.780,77.567,228.167,13.714,108.996
269,269,PESCADOS,PEIXES,"OUTROS FILES DE PEIXE, FRESCOS OU REFRIGERADOS",104.404,699.484,92.717,698.129,93.733,690.339,37.455,313.433,47.156,352.598,61.388,410.902,73.965,493.464,71.938,491.404,72.783,503.682,67.184,461.294,69.938,479.079,119.429,471.555
270,270,PESCADOS,PEIXES,"OUTROS FILES DE PEIXE SECOS, SALGADOS OU DEFUMADOS",7,75,7,76,,,10,109,52.076,236.178,40,401,44,415,155,989,81,770,30,282,143,1.068,145,1.052
271,271,PESCADOS,PEIXES,OUTROS PEIXES CONGELADOS,2.620.479,6.937.332,2.360.604,5.348.894,1.581.916,4.746.103,2.368.230,4.344.981,2.312.457,4.776.097,2.382.884,6.671.682,2.142.679,5.724.003,1.762.725,5.576.972,1.631.998,5.974.795,1.716.245,4.428.773,1.673.693,4.670.124,2.055.284,4.574.665
272,272,PESCADOS,PEIXES,OUTROS PEIXES FRESCOS OU REFRIGERADOS,403.714,2.441.930,559.816,3.386.547,378.836,2.371.382,204.165,984.913,378.611,1.886.160,398.813,1.790.737,494.784,2.300.506,473.456,2.358.836,512.488,2.548.315,541.883,2.916.804,473.859,2.585.166,405.495,2.094.360
273,273,PESCADOS,PEIXES,"OUTROS PEIXES SECOS, SALGADOS OU DEFUMADOS",50.803,2.083.422,28.283,615.115,38.409,1.146.135,61.341,3.391.888,49.240,2.933.427,73.649,3.396.297,71.968,2.182.497,69.267,1.737.903,36.870,1.497.278,52.164,1.385.194,74.831,1.955.292,79.664,2.025.276
274,274,PESCADOS,PEIXES,PARGOS CONGELADOS,424.450,2.847.222,70.296,411.143,51.391,324.155,5.147,28.036,38.721,214.905,295.609,1.712.560,609.902,3.646.847,776.866,4.814.740,633.716,3.957.846,520.975,3.245.939,719.308,4.675.977,505.195,3.301.647
275,275,PESCADOS,PEIXES,PEIXES ORNAMENTAIS VIVOS,4.289,483.627,4.528,423.178,4.860,476.464,177,19.534,1.469,115.031,2.414,196.831,4.411,534.857,4.111,593.815,4.800,645.063,5.704,763.860,4.921,661.839,6.128,759.724
276,276,PESCADOS,PEIXES,"PEIXES SECOS, SALGADOS OU DEFUMADOS",156,988,111,3.767,179,2.994,159,1.998,132,4.566,118,1.989,51,230,122,5.223,152,2.174,27,179,15,64,146,5.485
277,277,PESCADOS,PEIXES,SALM�ES CONGELADOS,22.763,74.863,1.118,7.816,987,8.254,1.219,9.544,1.478,11.194,1.610,10.598,2.691,17.671,2.146,15.063,2.235,16.214,2.035,13.758,2.539,15.704,1.376,10.203
278,278,PESCADOS,PEIXES,"SALM�ES, FRESCOS OU REFRIGERADOS",505,2.326,584,2.953,827,3.583,982,4.916,1.068,3.282,545,2.606,834,3.821,928,3.699,612,1.703,474,2.331,462,2.088,650,2.801
279,279,PESCADOS,PEIXES,"SALM�ES, SECOS, SALGADOS OU DEFUMDOS",42,1.693,13,427,3,147,150,4.110,62,1.603,103,3.742,73,1.405,189,3.433,83,1.998,86,2.344,212,3.414,275,5.126
280,280,PESCADOS,PEIXES,SARDINHAS CONGELADAS,897,3.404,891,3.064,51.676,64.555,4.380,7.854,28.269,21.106,2.443,5.698,1.441,5.569,2.118,6.771,1.685,5.572,1.762,5.078,1.092,4.287,868,3.271
281,281,PESCADOS,PEIXES,SURUBINS CONGELADOS,,,1.741,3.329,,,762,1.096,,,,,,,,,,,,,,,,
282,282,PESCADOS,PEIXES,"SURUBINS, FRESCOS OU REFRIGERADOS",1.320,4.158,9.538,29.626,6.060,17.352,2.006,4.905,624,1.695,881,2.670,187,514,2.399,8.757,3.717,12.229,1.718,5.479,4.787,15.844,2.997,11.658
283,283,PESCADOS,PEIXES,TIL�PIAS CONGELADAS,38.487,73.212,41.289,74.414,1.960,7.166,22.591,45.761,41.800,73.840,21.434,41.090,102.981,166.115,120.612,199.894,42.558,70.472,55.303,98.481,76.908,134.087,81.938,136.315
284,284,PESCADOS,PEIXES,"TIL�PIAS, FRESCAS OU REFRIGERADAS",168,728,441,1.667,220,776,229,900,282,1.272,321,1.376,155,508,2.045,5.864,1.422,5.812,199,950,200,565,166,604
285,285,PESCADOS,PEIXES,"TIL�PIAS, VIVAS",90,223,267,776,305,994,653,2.022,619,1.871,618,1.917,615,1.825,414,1.056,568,1.338,375,859,281,605,211,625
286,286,PESCADOS,PEIXES,TRUTAS CONGELADAS,80,508,24,263,10,85,20,153,20,173,,,,,12,135,32,329,5,46,40,371,10,96
287,287,PESCADOS,PEIXES,"TRUTAS, VIVAS",20,70,,,,,90,248,20,53,,,,,,,40,112,20,55,70,195,,
288,288,PESCADOS,"PREPARA��ES E CONSERVAS DE PEIXES, CRUST�CEOS E MOLUSCOS",PREPARA��ES DE CRUST�CEOS E MOLUSCOS,580,4.336,374,2.721,480,4.143,688,5.164,859,5.643,1.114,6.822,1.396,7.034,1.402,7.195,816,5.488,794,5.368,730,5.185,1.535,7.839
289,289,PESCADOS,"PREPARA��ES E CONSERVAS DE PEIXES, CRUST�CEOS E MOLUSCOS",PREPARA��ES E CONSERVAS DE ATUNS,91.629,373.668,234.778,880.427,128.220,415.728,260.819,823.832,235.243,810.741,288.041,997.065,217.972,756.231,287.242,849.550,134.940,559.900,257.300,1.004.989,243.086,976.101,322.733,1.183.085
290,290,PESCADOS,"PREPARA��ES E CONSERVAS DE PEIXES, CRUST�CEOS E MOLUSCOS",PREPARA��ES E CONSERVAS DE DEMAIS PEIXES,3.211,14.972,1.547,7.529,5.549,20.508,49.965,32.793,29.013,30.005,1.645,8.209,1.817,8.147,1.923,9.975,26.066,30.684,1.177,6.508,1.825,9.741,1.006,6.094
291,291,PESCADOS,"PREPARA��ES E CONSERVAS DE PEIXES, CRUST�CEOS E MOLUSCOS",PREPARA��ES E CONSERVAS DE SARDINHAS,54.045,171.155,50.698,156.211,65.270,213.348,71.421,234.657,29.365,86.172,27.084,39.525,22.240,68.767,39.552,134.595,84.661,257.624,29.391,101.270,27.486,96.631,51.327,162.580
292,292,PLANTAS VIVAS E PRODUTOS DE FLORICULTURA,PLANTAS VIVAS N�O ORNAMENTAIS,MUDAS DE PLANTAS N�O ORNAMENTAIS,53,6.188,79,420,9.137,65.835,3,88,9.000,15.000,3.138,11.208,137,182,85,432,24.492,65.389,112.201,186.120,110.101,189.999,123,336
293,293,PLANTAS VIVAS E PRODUTOS DE FLORICULTURA,PLANTAS VIVAS N�O ORNAMENTAIS,"OUTRAS PLANTAS VIVAS, ESTACAS E ENXERTOS",6.372,76.240,11.201,58.547,1.814,26.143,9.630,18.824,19.333,35.195,20.604,32.519,36.418,61.660,21.264,41.219,31.432,62.861,59.172,83.477,22.502,80.626,31.060,59.531
294,294,PLANTAS VIVAS E PRODUTOS DE FLORICULTURA,PRODUTOS DE FLORICULTURA,"BULBOS,  TUB�RCULOS, RIZOMAS E SIMILARES",,,15,3.629,1,319,,,134.606,341.087,539.542,1.324.153,526.432,1.170.384,466.553,1.065.531,409.378,759.547,186.833,372.520,2,1.336,31.695,73.518
295,295,PLANTAS VIVAS E PRODUTOS DE FLORICULTURA,PRODUTOS DE FLORICULTURA,FLORES  DE CORTES FRESCAS,1.842,23.539,920,31.132,2.702,82.609,30,34,1.347,21.335,3.561,166.179,1.655,7.867,9.450,76.808,19.515,171.098,10.163,51.947,8.190,44.905,10.030,89.980
